text,correct,predicted_native_language
Nikkei started electronic version [online version] yesterday.,"Nikkei started electronic version [online version] yesterday. Maybe, ""Nikkei started publishing an electronic version of their newspaper online yesterday.""",Chinese (Mandarin)
I will try this weekend whether reading papers on 27inch iMac is good or bat at Mac Store.,"I will try this weekend whether reading papers on 27inch iMac is good or bat at Mac Store. Maybe, ""I will go to the Mac store and try out the 27-inch iMac to see if it is good or bad for reading newspapers this weekend.""",Chinese (Mandarin)
"in the future, I will make business in india.","In the future, I will make a business in India. (Did you mean to say ""I will do business in India"", or did you mean ""I will make a new business in India""? They are slightly different.)",Chinese (Mandarin)
Sorry I got out of my way.,"Sorry I got out of my way. EITHER: Sorry, I went off on one OR MORE POLITELY: Sorry, I went away from the subject there. THERE ARE MANY WAYS TO SAY THIS IN ENGLISH.",Chinese (Mandarin)
Fortunately car was there and the key was still put on the start keyhole.,"Fortunately my car was there and the key was still in the ignition. (in England we call the start keyhole the ignition, i don't know if America is the same.)",Chinese (Mandarin)
She is going to Korea tomorrow.,"She is going (back) to Korea tomorrow. (Adding the ""back"" or changing ""going"" to ""returning"" is a good idea. Otherwise somebody might interpret it as just a trip for fun or something and that she might be coming back to Cali.)",Chinese (Mandarin)
"If they have many company, I'd not care about it, but they have a few people now so,,,, But the forecast said that tomorrow is going to be raining at Pasadena area.","If there was several of them, I'd not care about it, but they only have a few people now so,,,, But the forecast said that tomorrow it is going to be raining in the Pasadena area.",Chinese (Mandarin)
"aferward, I have looked at she was rest","Afterward, I made sure she got a good rest.",Chinese (Mandarin)
A few months ago I subscribed to some podcasts from the bbc so now I listen to different types of programmes and I try to understand them.,"A few months ago I subscribed to some podcasts from the BBC, so now I listen to different types of programmes and I try to understand them. I believe ""programmes"" would be correct in England. In the US, we would spell it ""programs"".",Chinese (Mandarin)
It rains and is cold .,"It rain and it's cold . (I would assume it rains in japan. It seems to in most places in the world, especially in the ones toward the equator.)",Chinese (Mandarin)
It is kind of different with speaking in English when we talk to,(editor note: It is hard to understand the meaning here. Please add Japanese for your meaning. It can help with English correction.),Chinese (Mandarin)
"It may even make it easier if you just go out there and learn new stuff from things that you LIKE to do, like reading stuff or watching movies.","Learning a language may be easier if you just go out there and learn from things that you LIKE to do, such as by reading things you enjoy or watching movies.",Chinese (Mandarin)
"Tonight my friend introduced me this network station ,and adviced me learning English here,so I come.","Tonight my friend introduced me to this social network, and advised me to learn English here, so I came.",Chinese (Mandarin)
"I was at the event only for two hours came back home early, but still the song of Lady gaga stuck in my head.","I was at the event only for two hours then came back home early, but still the song of Lady gaga is stuck in my head. I was only at the event for 2 hours before I came home early, but the Lady Gaga song is still stuck in my head.",Chinese (Mandarin)
I think whether because it is a dance that the person who saw it tries to be shown to the god and thought about.,"In various places in Japan there exists ""the white heron's dance"", primarily in Shinto shrines where there are dedication dances to God. However, because the shape of a heron in flight is also exceedingly beautiful, I feel that people who see this act may consider it a dance.",Chinese (Mandarin)
"Because the appearance where the white heron flies perhaps is too beautiful though the god ""White heron's dance"" in Japan in various places in the Shinto shrine chiefly has dedication (Show it) dance",*I put it all under the previous sentence :),Chinese (Mandarin)
"Because the daurian redstart was a migrant, is the bird seen, and was winter slowly near me?","Because the daurian redstart was a migrant, is Winter close because I saw the bird passing by?",Chinese (Mandarin)
"It appears that everything was just his imagination because he has schizofrenia, but he discovered a new economic law and got Nobel prize in year 1978 and is still teaching at Princetone University.","It appears that everything was just in his imagination because he has schizophrenia / since he suffers from schizophrenia / since he is schizophrenic, however, he managed to discover a new economic law won the Nobel prize in 1978 (OR : in the year 1978) and became a professor at Princeton University, where he still currently teaches.",Chinese (Mandarin)
and now I'm preparing to go to gym.,"and now I'm preparing to go to the gym. (The ""the"" infront of gym may be optional in British English. I do not know. I know that you need it for American English.)",Chinese (Mandarin)
"In addition, it seemed that there were a little racism.","In addition, it seems that there were a little racism. (sorry to hear that but remember that people fear what they do not understand. I come from south africa and have experienced the effects of racism)",Chinese (Mandarin)
"It was looked in at the window by people just passed by, and had been dispised from citizen in Utrecht for some decade after that.","It was looked in at the window by people just passed by, and had been dispised from citizen in Utrecht for some decade after that. Better to say, people walking by would look int he windows, but it was despised by all the citizens in the Utrecht for decades.",Chinese (Mandarin)
"But as I came closer to England, I had a real feeling that I did come to England alone!","But upon arriving at my destination, I felt that I really did come to England on my own!",Chinese (Mandarin)
We also get whitnesses are heard you and Yamazaki aregue about whole or agree.,We also got witnesses who heard you and Yamazaki arguin' about a whole lotta green.,Chinese (Mandarin)
That's why I prefer the place.,>>I would leave this line out and add what I wrote in blue to the previous sentence.,Chinese (Mandarin)
"In Japan, most of buildings, especially schools, are rebuildedwithin several decade, so we couldn't see such a historical, built in more than several handreads ago, building converted to school.","In Japan, most of buildings, especially schools, are rebuild within several decades, so we could not (""couldn't"" is slang speech) see such historical buildings that were built more than several ago. I removed the last part in its entirety as it adds nothing now due to previous corrections",Chinese (Mandarin)
There are telly programe what foreign came to studio and talk about korea in korean.,There is a TV programme where foriegn presenters talks about Korea in Korean. I think this is what you are trying to say?,Chinese (Mandarin)
"Taking Inner Mongolia for instance, local residents kill out wild wolves, which makes the number of wild rabbits fatal to the grass land grow up at a dramatic pace because of the lack of natural enemies.","Taking Inner Mongolia for instance (""Taking____for instance"" doesn't sound natural. How about simply ""for instance, in Inner Mongolia...etc, local residents kill wild wolves, which makes the number of wild rabbits fatal to the grassland and allows it to grow at a dramatic pace because of the(""the"" is ok, but I would use ""a"" here lack of natural enemies.",Chinese (Mandarin)
"My name is sof,please remenber me.","My name is sof, please regard me kindly. (I find yoroshiku really hard to translate to an appropriate sentence in English. But it is something to the effect of ""please regard me kindly."")",Chinese (Mandarin)
"I studied English and I have to translate the sentense bellow, though, I can't understand why they use the present perfect tense in a last line.","English and I have to translate the , I can't understand why they use the Present Perfect tense in a last line.",Chinese (Mandarin)
"I think I also go to the ""TACHIBANA"".","I think I will also go to the ""Tachibana"" the next time I eat out.",Chinese (Mandarin)
oh~~ beacuse Gosu is a person with the supernatural power too.,oh~~ beacuse Gosu is a person with the supernatural power too. It turns out that Gosu had supernatural powers too.,Chinese (Mandarin)
"We went to Youuido to see ""The Fireworks Festival"".","We went to Youuido to see ""The Fireworks Festival"". This evening I met my friend and we went to see ""The Fireworks Festival"". [*** midol: If ""The Fireworks Festival"" is not the actual, proper name of the fireworks show, you wouldn't capitalize it or put it in quotes. You'd say ...the fireworks festival. ***]",Chinese (Mandarin)
I saw lots of fish and some sharks.,Then I went to the Busan Aquarium where I was many fish and some sharks.,Chinese (Mandarin)
I took a trip to paris alone.,"I took a to Paris alone. (You can pick any of those 4, I think ""traveled"" sounds more natural)",Chinese (Mandarin)
Pepero is snacks that look similar to the number 1.,"Peperos are snacks that look similar to the number 1. [ you could also write this as ""Pepero is a snack that looks like the number one."" ]",Chinese (Mandarin)
"I wanted to draw a picture of the animals, so I went to the Tennoji zoo yesterday.","I wanted to draw the animals, so I went to the Tennoji Zoo yesterday. (""Zoo"" is only capitalized if that is its full, proper name, if you're calling it ""Tennoji zoo"" just because of its location in Tennoji and it has another name, then ""zoo"" does not go capitalized.)",Chinese (Mandarin)
but Netherland was bery strong and technical .,I added this sentence to the one above it.,Chinese (Mandarin)
Introduction of essay for retail management class.,"Introduction of an essay for a retail management class. // You need to use a/an here because ""essay"" and ""retail management class"" are not proper nouns or something that both you and the reader knows about. Proper nouns are words for a unique thing that everyone knows about, for example ""Sony (a unique company)"" ""Mount Fuji(a unique mountain)"". So if you wrote, I climbed Mount Fuji, that is correct, without an ""article"" in front of ""Mount Fuji"", but if you wrote I climbed mountain, that is wrong, because you need an article in front of ""mountain"". You need to write I climbed a/the mountain.",Chinese (Mandarin)
My room is fragrant with smelled of roses.,"My room is fragrant with the smell of roses. I think ""scent"" would be better than ""smell."" I think scent is used more often for something that smells good.",Chinese (Mandarin)
"He didn't wake up, even if his invention for which wake up him hung dangling in midair.","He wouldn't wake up, even if the alarm clock he invented left him dangling in midair.",Chinese (Mandarin)
"When they check out, they pay all of the fee.","Before people leave the Island, they pay all of the fees.----DO people pay before leaving the Island or before boarding the ferry? It is difficult to understand.",Chinese (Mandarin)
"If you visit Japan, you can see it which sold as healthy cup noodle.","If you visit Japan, you can see it which sold as healthy cup noodle.In Japan you can find it, being marketed as the Healthy cup noodles.",Chinese (Mandarin)
Because I joined the meeting that be spoken only English.,"I joined a meeting where only English was spoken. (Avoid starting sentences with a conjunction since a conjunction is supposed to connect two sentences in a way that adds meaning to both. You can connect the two sentences here as ""I started Lang-8 today because I joined a meeting where only English was spoken."")",Chinese (Mandarin)
Which county do you want to work?,In which country you want to work? (or in a more appropiate form of question = In which Country would you like to work at?),Chinese (Mandarin)
8 we will see u on mondayand 9th at 9oclock with shimakiti for hair cut and colour.,8 See you on Monday 9th at 9oclock with Shimakiti for your hair cut and colouring. Have a good day,Chinese (Mandarin)
The milliards of stars are twinkles in the dark sky.,"Myriads of stars are sparkling [or: glittering] in the darkness of the sky. [Note: Technically, myriad (10.000) is a smaller numer than billion (1.000.000.000 like in: ""in England and France they call one thousand million a milliard"") , but it is often used to mean: countless; innumerable; too numerous to be counted.]",Chinese (Mandarin)
"I will go to metro station to propeling ""Left walk,righ stand"" in Escalator.","I will go to the metro station to propelling ""Left walk,right stand"" in Escalator. [What do you mean by ""propel""? Could you write the word you want in Chinese or something because propel in English doesn't make sense here.]",Chinese (Mandarin)
This tendency seems to be mended.,This habit seems to be taken care of. *do you mean you are learning to develop a good habit of practicing english?,Chinese (Mandarin)
"Q:Did any ""New China"" citizen who both State and himself admits he is Chinese citizen have awarded the Nobel Prize?","Q: Have any ""New China"" citizens whose citizenship is recognized both by the State and by themselves been awarded the Nobel Prize?",Chinese (Mandarin)
Did you have good trip to Japan?,Did you have good trip to Japan? / Did you have a good time in Japan ?,Chinese (Mandarin)
"But,Extra innings and PK.","But,while I was watching the extra time and PK, I drank too much.",Chinese (Mandarin)
If anyone can teach me how to study English.,"If anyone can teach me how to study English. ""If"" clause should be followed by something - ""If anyone............English, then please tell me."" for example.",Chinese (Mandarin)
"Each time of meetings takes me lots time,and there are no any concludes.",Each time when there is a meeting it will (OR Meetings) take up a lot of my time and there is never any conclusions.,Chinese (Mandarin)
"By the rules of VisualBasic Scripting, We freely compose & arrange them seaquencially ,covering almost all activities.","Excel Macro Function runs on Visual Basic (a type of computer programming language that is quite similar to spoken English). There are many functions that we can carry out with Microsoft Visual Basic and the Macro Function, including repeating routine tasks such as copying, matching, pasting, and running input of several values.** sequentially",Chinese (Mandarin)
because of Yokohama(I'm living city) gradually gets cold.,because Yokohama (the city I'm living in) gradually gets cold.,Chinese (Mandarin)
She said her friend asked to owe an abandoned kitten.,"She said her friend asked her to take in an abandoned kitten. [""take someone in"": ""to take care of someone and provide a place in your home for them"" --Cambridge Advanced Learner's Dictionary. You can ""take in"" both people and animals.]",Chinese (Mandarin)
"There are many solutions including Consol, perpetual bond, massive tax without representation, inflation tax; however, what is the best solution?","There are many solutions including (Consol??Console??), perpetual bonds, massive taxation without representation, and inflation tax; however, what is the best solution? Is ""Console"" what you wanted to use?",Chinese (Mandarin)
"Today, I found an interesting article related to the entry from the Wall Street Journal.","Today, I found an interesting article related to the entry from the Wall Street Journal. [your sentence is correct! However, it's better to write ""Today, I found an interesting article in the Wall Street Journal related to my previous entry.""]",Chinese (Mandarin)
"Last week,I've finished reading ""Hear The Wind Sing"" translated into English.","Last week, I finished reading an English translation of ""Hear The Wind Sing."" [The action of reading was completed at a time in the past. Use the simple past tense for this. ""I've finished (doing something)"" is the present perfect tense; it means that you have just now finished doing the specified action. Note on punctuation: You need to type a blank space after each comma (,) and period (.). You do not need to start a new line at the end of each sentence.]",Chinese (Mandarin)
"And I have a lot of novels what I want to read in English, ex.""The Great gatsby"",""The Catcher In The Rye"",Paul Auster,Jhumpa Lahiri and more.","There are a lot of novels that I want to read in English, e.g. ""The Great Gatsby,"" ""The Catcher In The Rye,"" novels by Paul Auster and Jhumpa Lahiri, and others. [I think it is better to write ""for example,"" but if you want to use an abbreviation instead, the abbreviation is ""e.g."", which stands for a phrase in Latin.]",Chinese (Mandarin)
I have been really feeling the difficulty to speak English in front of trainees who are foreigners.,"Lately, I've been having a difficult time speaking English in front of trainees who are foreigners. Lately, I haven't felt very confident speaking English in front of trainees who are foreigners.",Chinese (Mandarin)
I envy Japanese pay and Japanese welfare even though they are less than other advanced nations'.,"I envy Japanese pay and Japanese benefits, even though they are less than other advanced nations'. (In America, we normally consider the word ""welfare""as government money given to poor people to buy necessities, or simply a person's well being. ""Benefits"" sounds better for what your are saying."")",Chinese (Mandarin)
"Today I watched on TV, they appeared ""Mezamashi-tv"".","Today I saw them on TV when they appeared in ""Mezamashi-tv"". (Mezamashi-tv is a television show, right?)",Chinese (Mandarin)
Because our highschool team will meet final game in Nayoro area.,"Because our highschool team will have its final game in Nayoro area.(or... ""Because our high school team will compete in the baseball finals in Nayoro area.)",Chinese (Mandarin)
"I started it on my mother's advice,she likes it very much and she had a lisence about this dansing.",I started it on my mother's advice. She likes it very much and she had a lisence about this kind of dancing.(I'm not sure what you mean by having a license for Nihon Buyou. Is she a teacher of Nihon Buyou? Has she taken lessons?),Chinese (Mandarin)
Last week I bought the TV game controller(Wii) on the Yahoo auction(web),Last week I bought a TV game controller (for my Wii) on the Yahoo auction(website). (You use a with a TV game controller because there is more than one type of Wii TV game controller. We use the with Yahoo auction because there is only one. Does that make sense ?).,Chinese (Mandarin)
"Fortunately, a designer sponsored our publishing of magazine, so we could set off with our members of FL whose people belonging increased compared with the beginning.","Fortunately, a designer sponsored the publishing of our magazine, so we could set off with our members of FL whose people belonging increased compared with the beginning. (I think this sentence is better split up into two sentences: ""Fortunately, a designed sponsored the publishing of our magazine. Because of this, the number of members in FL have increased compared to the number of people we had in the beginning."" I think this is what you mean?)",Chinese (Mandarin)
"I drive a motorcycle, called Dragstar made in YAMAHA whose engine capacity is 250cc.",My motorcycle is a 250cc Yamaha Dragstar.,Chinese (Mandarin)
"When I consult some references to figure out how things were different from, I even thought it almost seemed as if God offered a helping its hand because the Whites' one was very simple in terms of the length of time or its formal worship compared with the Blacks' one.","When I consult some references to figure out how things were different between the two worship styles, it almost seemed as if God was offering a helping its hand because the Caucasians ones were very simple in terms of the length of time or its formal worship compared with the Blacks' ones.",Chinese (Mandarin)
"These days, it's becoming more and more important to understand English.","These days, it's becoming more and more important to understand English. (I would say.... These days, the importance of understanding English is becoming more and more significant.)",Chinese (Mandarin)
It is what I could make a lot of people living in all over the world through Twitter(I have an English account) and Facebook so on.,"It is what I could make a lot of people living in all over the world through Twitter(I have an English account) and Facebook so on. (I think this is better reworded as... ""Through Twitter (I have an English account), Facebook, and so on, I have met a lot of people from all over the world."")",Chinese (Mandarin)
"In the office, our group often make cup of coffee deriving from coffee beans.","In the office, our group often make a pot of coffee from coffee beans. All coffee is derived from beans. I believe what you mean is, you make coffee from beans.",Chinese (Mandarin)
TOEIC is English test.,TOEIC is an English test.*what does TOEIC stand for? It might be an idea to put in a descriptive gloss - i.e. write in brackets what the acronym stands for.,Chinese (Mandarin)
New Computer is come to my home,I have a new computer in my home,Chinese (Mandarin)
Sleep and drinking more water is the best medicine for me to convalesce.,*Completely agreed. I hate the pharmaceutical industry XD*,Chinese (Mandarin)
"I don't have formal work experience at a child care setting but I have two own my kids and i really enjoyed to do a lots of things with them like playdo, Origami, paintings and cooking.","I don't have formal work experience in a child care setting but I have two of my own children and I really enjoyed doing lots of things with them like Play-Doh, Origami, Paintings and Cooking.",Chinese (Mandarin)
"From now, I have to work till 6PM, it means that I need to work 6 hours more.","From now, I have to work till 6PM, it means that I need to work 6 hours more.I have work until 6PM, which means that I need to work 6 hours more.",Chinese (Mandarin)
"Today, i have see the Ugly Betty for 3 sets, i find this TV is a very nice , i like the Betty's work hard, and like the Americal Humor, and one important thing is i find the English is listen so good, everyone say english so nice, i want i can speak like them, oh ,maybe a little is ok,ah,that is all, thank you, thank you for the body help me for the wirte here.","Today, I saw three Ugly Betty episodes. I find this TV show to be very nice. I like Betty's hard work, and like American Humor. One important thing is that I find English nice to listen to. Everyone says English so nice, so I want to speak like them. Oh ,maybe a little is ok. Ah, that is all. Thank you, thank you for helping write here.",Chinese (Mandarin)
I begin jogging along the Sumida river.,"In the morning, I have begun jogging.In Nihongo, you do not mention the Sumida river, instead you wrote ""In the morning.""",Chinese (Mandarin)
He will not back to Japan for other 2 years.,He will not come back to Japan for other 2 years. / He will not back Japan for another 2 years.,Chinese (Mandarin)
Iphone made our lives more convenient.,"The iPhone has made our lives more convenient. (In the sentence before, you said 'the iPhone has revolutionized many aspects of my life', so maybe 'The iPhone has made my life more convenient', makes more sense.)",Chinese (Mandarin)
There is a house I spent until 18 years old in Hamamatsu.,My parents live the house in Hamamatsu where I lived until I was18 years old.,Chinese (Mandarin)
That is because it helps us to communicate a lot of people who can't my mother toung if I can speak English.,"That is because, if I can speak English, it helps me to communicate with a lot of people who can't understand my mother tongue.",Chinese (Mandarin)
and i don't know how to hadle.,"and don't know how to hadle [].Note: Capital I, handle with an ""n"" and added ""them"" after handle. If you do not put ""them"" after handle it is understood that you mean the ""little things"".",Chinese (Mandarin)
"i don't like the sadness ,anger or any other negative emotions.","don't like sadness, anger or any other negative emotions.Note: Capital I, removed ""the"" and space before comma (,) removed. I agree with you--I don't like sadness, anger or other negative emotions.",Chinese (Mandarin)
I went to Australia this summer vacation and I kept it as a secret.,"I went to Australia this summer vacation, and I kept it as a secret. Alternative: ""I secretly went to Australia this summer vacation.""",Chinese (Mandarin)
"But when I went to the univercity and major in English Education,I found I began to love English that I found English is useful in our daily life.",But that changed when I went to university and took a major in English Education. I found myself loving English that I realized English is useful in our daily life.,Chinese (Mandarin)
"I think it is a wonderful oppotunity for me to improve my English and my teaching skill.(PS:I am a college student and i major in English teaching)So,I always do a careful perparation before I have a class with the student.","I think it is a wonderful opportunity for me to improve my English and my teaching skills. (PS: I am a college student and I major in English teaching) So, I always prepare carefully before I have a class with the student.",Chinese (Mandarin)
"On the other hand, learning English is not spending time but saving time.","Learning English is not spending time but saving time. (""On the other hand"" doesn't really fit here based on the previous sentence, it means you are bringing up a point that goes against the previous point. Here, both of your points support the same goal.)",Chinese (Mandarin)
"For them, going back to school is only a waste of time without any gains, let alone the lifelong education!","For them, going back to school is only a waste of time without any gains, let alone lifelong education! [Do you mean that there are no gains, and ""lifelong education"" is not one of the gains? Or do you mean that there is no gain from going back to school once, and there is even less gain from going back to school repeatedly throughout your life?]",Chinese (Mandarin)
"At the first time, I asked the way to go somewhere to foreigner in English in Singapore.","At the first time (My first time speaking English), I asked the way to go (How to get) somewhere (Remeber If you go toa differentcountry thenyou are the foreigner and that the person who lives there is not the foreigner.) in Singapore.[My first time speaking English, I asked how to get somewhere in Singapore.]",Chinese (Mandarin)
"Nowadays, there are many headache conflicts between among countries.","Currently, there are many conflicts between countries. [NOTE: I see this problem a lot. ""Nowadays"" is rarely used, but I know it is a direct translation of some words. &nbsp;I recommend ""currently"", since this is used more.]",Chinese (Mandarin)
"From my point of view,both sense of competition and sense of cooperation play akey role in the growth of kids.","From my point of view, both a sense of competition and a sense of cooperation play a key role in the growth of kids. [Make sure you put in a space after each comma or full stop (=period). This is a problem throughout your text. Your English is so good - don't let yourself down with poor punctuation.]",Chinese (Mandarin)
Saigon don't have sunshine and the weather is a little cold today.,"Today, there is no sun and the weather is a little cold today in Saigon.",Chinese (Mandarin)
"On facebook has a lot of fun quiz, and i also did some quiz.","On facebook there's a lot of fun quizzes, and I also took a few if them. (<sounds more natural) or: ""There's a lot of fun quizzes on facebook...""",Chinese (Mandarin)
"Tiger was called ""Yellow Devil"".","Tiger was called ""Yellow Devil."" (This sentence confuses me a little. He was referred to before as Naoto Date. This sentence seems to calls him Tiger and also Yellow Devil. I looked it up and it looks like Naoto and Tiger are the same person, and Yellow Devil is someone else. You might mean, ""Naoto Date, also known as Tiger, challenged Yellow Devil to a wrestling match."" Does this sound right?)",Chinese (Mandarin)
He was masked man from Canada!,"He was a masked man from Canada! (I think ""I saw a masked man from Canada"" would sound better)",Chinese (Mandarin)
I arrived my working place at 5:50 am.,"I get to work [ in English we usually just use ""work"" as a noun in this case and ""work place"" for more formal things; it's not needed here.] at 5:50 am.",Chinese (Mandarin)
And I supervised a construction of Hot strip mill and I was charged with establishing a operation process.,I also supervised the construction of the Hot Strip Mill. [It makes more sense to start a new sentence here.]I was charged with establishing an operation process.,Chinese (Mandarin)
Then he said hastily`I said that you are good like an American who have,"Then he hastily replied `I said that you are good like an American who have (""I said your English is as good as an Americans with very few grammar mistakes"") Grammar mistakes is also synonymous with ""Grammatical errors"".",Chinese (Mandarin)
Lady Gaga showed to all over the world including misunderstanding people,Lady Gaga showed the rest of the world that Japan is safe.,Chinese (Mandarin)
You've got to see them!,"You've got to see ! it!*If you mean only the scenes in the ministry of magic then them is ok. If you mean the movie, it is better.",Chinese (Mandarin)
But I didn't buy anything.,"I didn't buy anything.Don't start a sentence with ""but"" or ""and."" BETTER SENTENCE: , I didn't buy anything.",Chinese (Mandarin)
"As I wrote it, I've been in the new compny for one week and asked him advice.","As I'm writing this, I've (now) been in the new company for one week [and asked him for advice] (My advice - add this part to the previous sentence after Mark-San).",Chinese (Mandarin)
"Through studying Christianity, it helped me to learn way of thinking of Christians that different from Japanese way of thinking.","Studying Christianity helped helped me to learn the Christian way of thinking, which is different from that of the Japanese.",Chinese (Mandarin)
"About two hours, we stayed there and could spend very good time.",We had a very good time during our two hours in Zushi.,Chinese (Mandarin)
I was work very hard yesterday so I will through at Atsugi station.,I was working very hard yesterday so I will through? at Atsugi station. (what will you do at Atsugi station?),Chinese (Mandarin)
My job is Network engineer.,I work as a network engineer.,Chinese (Mandarin)
"last time ,I added a japanese friend and have a chat with her .","last time ,I added a japanese friend and have a chat with her .Last time, I added a Japanese friend and had a chat with her.",Chinese (Mandarin)
"My japanese friend always likes China a lot and wants to live here as long as he can and my another korean friend ,who's back to Seoul, tells me that she's been missing china and chinese so much.","My Japanese friend has always liked China a lot and wants to live here as long as he can and another Korean friend, who's back in (or: who's gone back to) Seoul, tells me that she's been missing China and Chinese so much.",Chinese (Mandarin)
One of my husband's friends living in Virginia which is very close to my states offered us a good plan to go Mytle beach in South Carolina.,One of my husband's friends who lives in Virginia (which is very close to my state) suggested that we visit Myrtle beach in South Carolina.,Chinese (Mandarin)
how to catch clue learn english in few days i will have a examintion.,Does anyone have any clue on how I can learn English in a few days? I have an examination in a few days time,Chinese (Mandarin)
I did business game in(at?) my seminar in uni.,"I did a business game in my seminar in uni. (You could also say ""I did a game at the seminar"", but I think in sounds better here)",Chinese (Mandarin)
He transffered here from the hqrs in Tokyo to here.,He transferred here from the hqrs (what's this? headquarters?) in Tokyo to here.,Chinese (Mandarin)
Now I am learning English.,"I am now learning English. (or/// ""At the moment I am learning English"")",Chinese (Mandarin)
Coworke came our's stay the hotel.,My coworker came our town and stayed at a hotel here. (There is more than one hotel in your town right ?),Chinese (Mandarin)
"Sometime I feel lonely when I see the beautiful view,","Sometime I feel lonely when I see the beautiful view, but if I keep looking at the view my heart becomes clear.",Chinese (Mandarin)
See everyone next time!,"See everyone(though not incorrect this has a weird feel to it. I would avoid using this word in this context. Maybe ""See you guys next time!"" next time!",Chinese (Mandarin)
I watched this drama since three weeks ago.,"I watched watching this drama, three weeks ago. the word ""since"" represents the word ""from."" it is used to convey a relationship of a phenomenon which happened from a particular point in time. As in "" Since I have a test tomorrow, I have to study for it today. OR They have been eating since yesterday night.",Chinese (Mandarin)
Always wear a high brand dress and shows beautiful skin.,She always wears a high brand dress and shows beautiful skin. (Another assumed subject that is specified in english.,Chinese (Mandarin)
"Hallo, Mine Name ist Mai.","Hallo, mein Name ist Mai. (I think it's ""Ich heisse Mai"")",Chinese (Mandarin)
"In fact, when the earthquake occurred in Niigata prefecture, an imaginary organization that pretended the Red Cross sent postcards or E-mail to many people and ask to pay the money into the false account.","When there was an earthquake in the Niigata prefecture, a fake organization that pretended to be the Red Cross sent out postcards and e-mails to ask for money, that was to be paid into a false account.",Chinese (Mandarin)
"As for me, I used to admire the love that I can fall in at first sight, but eventually I married the love proceeded without even realizing it.","As for me, I used to admire love at first sight, but eventually I married the love that happened without me even realizing it.<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"">[...I married the love that snuck up on me without me even realizing it.]",Chinese (Mandarin)
I even heard a foreigner said that he liked Korea because he could play outside until late safely.,I have even heard a foreigner said that he liked Korea because he could play outside until late safely. Or : I have even heard a foreigner said that he liked Korea because he could safely hang out till the wee hours of the morning.,Chinese (Mandarin)
"Abobe all, Reiko san's artworks are so beautiful that I bet you can't take your eyes off them.","Above all, Reiko san's artwork is so beautiful that I bet you won't be able to take your eyes off of it. (I think ""artwork"" sounds more natural when it is used in singular tense. Or you can say, ""work(s) of art."")",Chinese (Mandarin)
I fell down hot coffee on my leg and I felt pain.,"I DROPPED hot coffee on my leg and IT HURT. (drop down == let fall (agent, you do it)// fall down == (no agent)) /// I dropped the cup /// I fell down the stairs",Chinese (Mandarin)
"The aqueous solution of KHF2 is weak acid, but if it is exposed other acid solution or basic solution, hydrogen fluoride gas is generated and the gas is very toxic.","The aqueous solution of KHF2 is a weak acid; but, if it is exposed to other acidic (solutions) or basic solutions, hydrogen fluoride gas is generated and the gas is very toxic. I put solutions in parenthesis(); because, you can omit it since there is another solutions behind it. Also, you can say that after the KHF2 reacts to a basic or acidic solution it becomes hydrogen fluoride gas.",Chinese (Mandarin)
Do not sign your own name at the end of the letter.,"Do not sign your own name at the end of the letter, use ""Li Ming"" instead. You should connect this and the sentence below since you're talking about the same thing.",Chinese (Mandarin)
Day 4: I'm Listening Mindy Gledhill's Song,"Day 4: I'm Listening To Mindy Gledhill's Songs (missing preposition) The preposition ""to"" is required after the verb ""listening."" Some verbs often come with specific prepositions. (song vs songs) You are listening to her entire album, so that means that you are listening to the songs in the album. Hence, the noun ""song"" should be in its plural. However, if you're listening to just one of her songs, you should say, ""Day 4: I'm Listening To One Of Mindy Gledhill's Songs.""",Chinese (Mandarin)
Long time to see you.,Haven`t seen you in a long time.,Chinese (Mandarin)
We enjoyed there very much and we have to think about our city.,"We enjoyed there very much, and we have to think about our city. ""There"" as in where? Are you saying that you and other people enjoy working at city hall, or are you saying that you and other people enjoyed the trip to Yuasa town?",Chinese (Mandarin)
My hometown is Shimonoseki Yamaguchi close to Kyushu^^ But now I am living in Shiga because I'm Ritsumeikan university student.,"My hometown is Shimonoseki Yamaguchi and it is close to Kyushu. However, I am currently living in Shiga because I'm a student of Ritsumeikan university.",Chinese (Mandarin)
xD I love to listen the radio at the night for two reasons.,"xD I love to listen the radio at the night for two reasons.(I'd guess you speak Spanish from this line. ""Escuchar"" is translated as ""to listen to"" in sentences such as ""I like to listen to music"" and ""I listened to my mother when she told me about her day."")",Chinese (Mandarin)
"There is two radio stations, one of them the announcer (locutora) speaks in English, and sometime I can understand and others I have to investigate the things.","There are two radio stations. one of them the announcer (locutora) speaks in English, and I can understand and others I have to investigate. (English is different from Spanish here. In Spanish, you can say ""Hay dos estaciones radiales"" or ""Hay una estacion radial."" My Spanish is bad, but you get the point. In English, ""there is/there are"" has to agree with the number of things. If ""radio stations"" is plural, it's ""there are"". If it's just ""a radio station"", it's ""there is"".)",Chinese (Mandarin)
My family watch me in a weird way when I sing.,"My family gives me odd looks when I sing.(It's weird to translate it into another language, but I think ""mi familia"" is singular, too.)",Chinese (Mandarin)
7) Le pince-notes (I don't know the meaning),"""Pince notes"" is strange... its sounds like ""Pinch-note"". According to your previous words, it's about office gears so I believe the word should be ""Un trombone"" or "" a Paper Clip"" which is used to... clip paper. lol",Chinese (Mandarin)
