native,classified_errors,error_counts
Spanish,"[('Adjective Error', 'native', 'ADJ', 'a', 'DET'), ('Noun Error', 'speaker', 'NOUN', 'Spanish', 'ADJ'), ('Noun Error', 'from', 'ADP', 'speaker', 'NOUN'), ('Preposition Error', 'Bogot', 'PROPN', 'from', 'ADP'), ('Other Error', ',', 'PUNCT', 'Bogota', 'PROPN'), ('Other Error', 'Colombia', 'PROPN', ',', 'PUNCT'), ('Other Error', '.', 'PUNCT', 'Colombia', 'PROPN'), ('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Pronoun Error', 'would', 'AUX', 'I', 'PRON'), ('Verb Error', 'like', 'VERB', 'would', 'AUX'), ('Verb Error', 'to', 'PART', 'like', 'VERB'), ('Verb Error', 'improve', 'VERB', 'to', 'PART'), ('Verb Error', 'my', 'PRON', 'improve', 'VERB'), ('Pronoun Error', 'English', 'PROPN', 'my', 'PRON'), ('Other Error', 'and', 'CCONJ', 'English', 'PROPN'), ('Verb Error', 'meet', 'VERB', 'and', 'CCONJ'), ('Verb Error', 'nice', 'ADJ', 'meet', 'VERB'), ('Noun Error', 'people', 'NOUN', 'nice', 'ADJ'), ('Noun Error', 'and', 'CCONJ', 'people', 'NOUN'), ('Adjective Error', 'other', 'ADJ', 'and', 'CCONJ'), ('Noun Error', 'culture', 'NOUN', 'other', 'ADJ'), ('Noun Error', '.', 'PUNCT', 'cultures', 'NOUN'), ('Pronoun Error', 'it', 'PRON', '.', 'PUNCT'), ('Pronoun Error', 'will', 'AUX', 'It', 'PRON'), ('Other Error', 'a', 'DET', 'be', 'AUX'), ('Noun Error', 'pleasure', 'NOUN', 'a', 'DET'), ('Noun Error', 'to', 'PART', 'pleasure', 'NOUN'), ('Verb Error', 'teach', 'VERB', 'to', 'PART'), ('Verb Error', 'Spanish', 'PROPN', 'teach', 'VERB'), ('Other Error', '.', 'PUNCT', 'Spanish', 'PROPN')]","Counter({'Noun Error': 8, 'Verb Error': 8, 'Other Error': 6, 'Pronoun Error': 5, 'Adjective Error': 2, 'Preposition Error': 1})"
Spanish,[],Counter()
Spanish,[],Counter()
Spanish,"[('Verb Error', 'dancing', 'VERB', 'dancing', 'NOUN'), ('Other Error', 'especially', 'ADV', ',', 'PUNCT'), ('Other Error', 'Tango', 'PROPN', 'especially', 'ADV'), ('Other Error', ',', 'PUNCT', 'Tango', 'PROPN'), ('Noun Error', 'traveling', 'NOUN', ',', 'PUNCT'), ('Noun Error', ',', 'PUNCT', 'traveling', 'NOUN'), ('Noun Error', 'cycling', 'NOUN', ',', 'PUNCT'), ('Other Error', '..', 'PUNCT', 'and', 'CCONJ')]","Counter({'Other Error': 4, 'Noun Error': 3, 'Verb Error': 1})"
Spanish,[],Counter()
Spanish,"[('Noun Error', 'spanish', 'NOUN', 'Spanish', 'PROPN'), ('Verb Error', 'to', 'PART', 'improve', 'VERB'), ('Verb Error', 'improve', 'VERB', 'your', 'PRON'), ('Noun Error', 'your', 'PRON', 'vocabulary', 'NOUN'), ('Noun Error', 'vocabulary', 'NOUN', '.', 'PUNCT'), ('Pronoun Error', '.', 'PUNCT', 'I', 'PRON'), ('Pronoun Error', 'I', 'PRON', 'really', 'ADV'), ('Other Error', 'really', 'ADV', 'would', 'AUX'), ('Verb Error', 'would', 'AUX', 'like', 'VERB'), ('Verb Error', 'like', 'VERB', 'to', 'PART'), ('Verb Error', 'we', 'PRON', 'feel', 'VERB'), ('Verb Error', 'feel', 'VERB', 'that', 'SCONJ'), ('Verb Error', 'improve', 'VERB', 'both', 'PRON'), ('Verb Error', 'after', 'ADP', 'improve', 'VERB'), ('Preposition Error', 'each', 'DET', 'after', 'ADP'), ('Noun Error', 'meet', 'NOUN', 'each', 'DET'), ('Noun Error', '.', 'PUNCT', 'meet', 'NOUN')]","Counter({'Verb Error': 8, 'Noun Error': 5, 'Pronoun Error': 2, 'Other Error': 1, 'Preposition Error': 1})"
Spanish,"[('Verb Error', 'to', 'PART', 'have', 'VERB'), ('Verb Error', 'have', 'VERB', 'a', 'PRON')]",Counter({'Verb Error': 2})
Spanish,[],Counter()
Spanish,"[('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Pronoun Error', ""'m"", 'AUX', 'I', 'PRON'), ('Other Error', 'not', 'PART', ""'m"", 'AUX'), ('Other Error', 'very', 'ADV', 'not', 'PART'), ('Adjective Error', 'fluent', 'ADJ', 'very', 'ADV'), ('Adjective Error', 'now', 'ADV', 'fluent', 'ADJ'), ('Other Error', '.', 'PUNCT', 'now', 'ADV')]","Counter({'Other Error': 3, 'Pronoun Error': 2, 'Adjective Error': 2})"
Spanish,[],Counter()
Spanish,"[('Pronoun Error', '!', 'PUNCT', 'I', 'PRON'), ('Other Error', ',', 'PUNCT', ""'m"", 'AUX'), ('Preposition Error', 'I', 'PRON', 'from', 'ADP'), ('Other Error', ""'m"", 'AUX', 'a', 'DET'), ('Adjective Error', 'from', 'ADP', 'small', 'ADJ'), ('Noun Error', 'a', 'DET', 'city', 'NOUN'), ('Adjective Error', 'small', 'ADJ', 'in', 'ADP'), ('Noun Error', 'city', 'NOUN', 'the', 'DET'), ('Preposition Error', 'of', 'ADP', 'Basque', 'PROPN'), ('Other Error', 'Country', 'PROPN', ',', 'PUNCT'), ('Other Error', ',', 'PUNCT', 'just', 'ADV'), ('Preposition Error', 'just', 'ADV', 'in', 'ADP'), ('Preposition Error', 'in', 'ADP', 'the', 'DET'), ('Noun Error', 'the', 'DET', 'middle', 'NOUN'), ('Noun Error', 'middle', 'NOUN', 'of', 'ADP'), ('Preposition Error', 'of', 'ADP', 'the', 'DET'), ('Other Error', 'the', 'DET', '3', 'NUM'), ('Adjective Error', '3', 'NUM', 'main', 'ADJ'), ('Noun Error', 'main', 'ADJ', 'cities', 'NOUN'), ('Noun Error', 'cities', 'NOUN', ',', 'PUNCT'), ('Preposition Error', ',', 'PUNCT', 'at', 'ADP'), ('Preposition Error', 'at', 'ADP', '30', 'NUM'), ('Noun Error', '30', 'NUM', 'km', 'NOUN'), ('Noun Error', 'km', 'NOUN', 'from', 'ADP'), ('Preposition Error', 'from', 'ADP', 'the', 'DET'), ('Noun Error', 'the', 'DET', 'coast', 'NOUN'), ('Noun Error', 'coast', 'NOUN', '.', 'PUNCT'), ('Pronoun Error', '.', 'PUNCT', 'I', 'PRON'), ('Verb Error', 'I', 'PRON', 'want', 'VERB'), ('Verb Error', 'want', 'VERB', 'to', 'PART'), ('Verb Error', 'to', 'PART', 'improve', 'VERB'), ('Verb Error', 'improve', 'VERB', 'my', 'PRON'), ('Adjective Error', 'my', 'PRON', 'basic', 'ADJ'), ('Noun Error', 'basic', 'ADJ', 'english', 'NOUN'), ('Noun Error', 'english', 'NOUN', 'and', 'CCONJ'), ('Pronoun Error', 'and', 'CCONJ', 'I', 'PRON'), ('Pronoun Error', 'i', 'PRON', 'also', 'ADV'), ('Verb Error', 'also', 'ADV', 'want', 'VERB'), ('Verb Error', 'want', 'VERB', 'to', 'PART'), ('Verb Error', 'to', 'PART', 'learn', 'VERB'), ('Verb Error', 'learn', 'VERB', 'French', 'PROPN'), ('Other Error', 'French', 'PROPN', '.', 'PUNCT'), ('Other Error', '.', 'PUNCT', 'Nowadays', 'ADV'), ('Other Error', 'Nowadays', 'ADV', ',', 'PUNCT'), ('Pronoun Error', ',', 'PUNCT', 'I', 'PRON'), ('Pronoun Error', 'i', 'PRON', ""'m"", 'AUX'), ('Verb Error', ""'m"", 'AUX', 'working', 'VERB'), ('Verb Error', 'working', 'VERB', 'in', 'ADP'), ('Preposition Error', 'at', 'ADP', 'France', 'PROPN'), ('Other Error', 'France', 'PROPN', 'and', 'CCONJ'), ('Pronoun Error', 'and', 'CCONJ', 'I', 'PRON'), ('Verb Error', 'i', 'PRON', 'want', 'VERB'), ('Verb Error', 'want', 'VERB', 'to', 'PART'), ('Verb Error', 'to', 'PART', 'start', 'VERB'), ('Verb Error', 'learning', 'VERB', 'French', 'PROPN'), ('Noun Error', 'french', 'NOUN', 'to', 'PART'), ('Other Error', 'to', 'PART', 'be', 'AUX'), ('Adjective Error', 'be', 'AUX', 'able', 'ADJ'), ('Adjective Error', 'able', 'ADJ', 'to', 'PART'), ('Verb Error', 'to', 'PART', 'communicate', 'VERB'), ('Verb Error', 'communicate', 'VERB', 'with', 'ADP'), ('Preposition Error', 'with', 'ADP', 'the', 'DET'), ('Noun Error', 'the', 'DET', 'people', 'NOUN'), ('Noun Error', 'people', 'NOUN', 'in', 'ADP'), ('Adjective Error', 'in', 'ADP', 'usual', 'ADJ'), ('Adjective Error', 'usual', 'ADJ', 'and', 'CCONJ'), ('Adjective Error', 'and', 'CCONJ', 'basic', 'ADJ'), ('Noun Error', 'basic', 'ADJ', 'situations', 'NOUN'), ('Noun Error', 'situations', 'NOUN', '.', 'PUNCT'), ('Other Error', '.', 'PUNCT', 'However', 'ADV'), ('Other Error', 'However', 'ADV', ',', 'PUNCT'), ('Pronoun Error', ',', 'PUNCT', 'I', 'PRON'), ('Verb Error', 'i', 'PRON', 'want', 'VERB'), ('Verb Error', 'want', 'VERB', 'to', 'PART'), ('Verb Error', 'to', 'PART', 'improve', 'VERB'), ('Verb Error', 'get', 'VERB', 'my', 'PRON'), ('Noun Error', 'better', 'ADJ', 'level', 'NOUN'), ('Preposition Error', 'my', 'PRON', 'in', 'ADP'), ('Noun Error', 'level', 'NOUN', 'English', 'PROPN'), ('Preposition Error', 'in', 'ADP', 'so', 'SCONJ'), ('Pronoun Error', 'english', 'PROPN', 'I', 'PRON'), ('Other Error', 'to', 'PART', 'do', 'AUX'), ('Other Error', 'do', 'AUX', ""n't"", 'PART'), ('Verb Error', 'nt', 'PART', 'commit', 'VERB'), ('Verb Error', 'commit', 'VERB', 'typical', 'ADJ'), ('Noun Error', 'spanish', 'ADJ', 'mistakes', 'NOUN'), ('Noun Error', 'mistakes', 'NOUN', '.', 'PUNCT'), ('Preposition Error', '.', 'PUNCT', 'On', 'ADP'), ('Preposition Error', 'In', 'ADP', 'the', 'DET'), ('Verb Error', 'to', 'PART', 'start', 'VERB'), ('Verb Error', 'learning', 'VERB', 'basque', 'NOUN'), ('Noun Error', 'basque', 'NOUN', '.', 'PUNCT')]","Counter({'Verb Error': 24, 'Noun Error': 22, 'Other Error': 14, 'Preposition Error': 14, 'Pronoun Error': 9, 'Adjective Error': 9})"
Spanish,[],Counter()
Spanish,"[('Noun Error', 'bit', 'NOUN', 'left', 'ADJ'), ('Verb Error', 'left', 'VERB', 'behind', 'ADV'), ('Other Error', 'behind', 'ADV', '.', 'PUNCT'), ('Pronoun Error', '.', 'PUNCT', 'I', 'PRON'), ('Pronoun Error', 'I', 'PRON', ""'m"", 'AUX'), ('Other Error', ""'m"", 'AUX', 'a', 'DET'), ('Noun Error', 'a', 'DET', 'PR', 'NOUN'), ('Noun Error', 'PR', 'NOUN', 'and', 'CCONJ'), ('Other Error', 'and', 'CCONJ', 'an', 'DET'), ('Noun Error', 'an', 'DET', 'artist', 'NOUN'), ('Noun Error', 'artists', 'NOUN', ',', 'PUNCT'), ('Other Error', ',', 'PUNCT', 'so', 'SCONJ'), ('Pronoun Error', 'so', 'SCONJ', 'I', 'PRON'), ('Verb Error', 'I', 'PRON', 'enjoy', 'VERB'), ('Verb Error', 'enjoy', 'VERB', 'everything', 'PRON'), ('Preposition Error', 'everything', 'PRON', 'between', 'ADP'), ('Noun Error', 'between', 'ADP', 'arts', 'NOUN'), ('Noun Error', 'arts', 'NOUN', 'and', 'CCONJ'), ('Noun Error', 'and', 'CCONJ', 'communications', 'NOUN'), ('Noun Error', 'communications', 'NOUN', '.', 'PUNCT'), ('Adjective Error', '.', 'PUNCT', 'Musical', 'ADJ'), ('Noun Error', 'Musical', 'ADJ', 'theatre', 'NOUN'), ('Noun Error', 'theatre', 'NOUN', 'is', 'AUX'), ('Pronoun Error', 'is', 'AUX', 'my', 'PRON'), ('Noun Error', 'my', 'PRON', 'passion', 'NOUN'), ('Noun Error', 'passion', 'NOUN', ',', 'PUNCT'), ('Other Error', ',', 'PUNCT', 'and', 'CCONJ'), ('Pronoun Error', 'and', 'CCONJ', 'I', 'PRON'), ('Verb Error', 'I', 'PRON', 'enjoy', 'VERB'), ('Verb Error', 'enjoy', 'VERB', 'very', 'ADV'), ('Verb Error', 'much', 'ADV', 'talking', 'VERB'), ('Verb Error', 'talking', 'VERB', 'about', 'ADP'), ('Preposition Error', 'about', 'ADP', 'that', 'PRON'), ('Pronoun Error', 'that', 'PRON', '.', 'PUNCT'), ('Pronoun Error', '.', 'PUNCT', 'I', 'PRON'), ('Verb Error', 'I', 'PRON', 'have', 'VERB'), ('Verb Error', 'have', 'VERB', 'a', 'DET'), ('Adjective Error', 'a', 'DET', 'personal', 'ADJ'), ('Noun Error', 'personal', 'ADJ', 'business', 'NOUN'), ('Noun Error', 'business', 'NOUN', 'about', 'ADP'), ('Preposition Error', 'about', 'ADP', 'all', 'DET'), ('Noun Error', 'all', 'DET', 'things', 'NOUN'), ('Noun Error', 'things', 'NOUN', 'London', 'PROPN'), ('Other Error', 'London', 'PROPN', 'and', 'CCONJ'), ('Verb Error', 'and', 'CCONJ', 'spend', 'VERB'), ('Adjective Error', 'I', 'PRON', 'most', 'ADJ'), ('Verb Error', 'spend', 'VERB', 'of', 'ADP'), ('Adjective Error', 'most', 'ADJ', 'my', 'PRON'), ('Noun Error', 'of', 'ADP', 'days', 'NOUN'), ('Verb Error', 'my', 'PRON', 'researching', 'VERB'), ('Noun Error', 'days', 'NOUN', 'about', 'ADP'), ('Verb Error', 'researching', 'VERB', 'that', 'DET'), ('Noun Error', 'about', 'ADP', 'city', 'NOUN'), ('Other Error', 'that', 'DET', '.', 'PUNCT'), ('Noun Error', 'city', 'NOUN', 'On', 'ADP'), ('Other Error', '.', 'PUNCT', 'the', 'DET'), ('Adjective Error', 'On', 'ADP', 'other', 'ADJ'), ('Noun Error', 'the', 'DET', 'hand', 'NOUN'), ('Adjective Error', 'other', 'ADJ', ',', 'PUNCT'), ('Noun Error', 'hand', 'NOUN', 'I', 'PRON'), ('Verb Error', ',', 'PUNCT', 'love', 'VERB'), ('Pronoun Error', 'I', 'PRON', 'to', 'PART'), ('Other Error', 'to', 'PART', 'and', 'CCONJ'), ('Verb Error', 'read', 'VERB', 'I', 'PRON'), ('Other Error', 'and', 'CCONJ', ""'m"", 'AUX'), ('Verb Error', 'I', 'PRON', 'doing', 'VERB'), ('Other Error', ""'m"", 'AUX', 'a', 'DET'), ('Verb Error', 'doing', 'VERB', 'challenge', 'NOUN'), ('Other Error', 'a', 'DET', 'to', 'PART'), ('Verb Error', 'challenge', 'NOUN', 'read', 'VERB'), ('Other Error', 'to', 'PART', 'as', 'ADV'), ('Verb Error', 'read', 'VERB', 'much', 'ADV'), ('Other Error', 'as', 'ADV', 'as', 'SCONJ'), ('Pronoun Error', 'much', 'ADV', 'I', 'PRON'), ('Other Error', 'as', 'SCONJ', 'can', 'AUX'), ('Preposition Error', 'I', 'PRON', 'during', 'ADP'), ('Other Error', 'can', 'AUX', 'this', 'DET'), ('Noun Error', 'during', 'ADP', 'month', 'NOUN'), ('Other Error', 'this', 'DET', '.', 'PUNCT')]","Counter({'Noun Error': 24, 'Verb Error': 19, 'Other Error': 17, 'Pronoun Error': 9, 'Adjective Error': 6, 'Preposition Error': 4})"
Spanish,[],Counter()
Spanish,"[('Pronoun Error', 'this', 'PRON', ',', 'PUNCT'), ('Pronoun Error', 'is', 'AUX', 'this', 'PRON'), ('Other Error', 'Rayford', 'PROPN', 'is', 'AUX'), ('Other Error', 'and', 'CCONJ', 'Charles', 'PROPN'), ('Pronoun Error', 'I', 'PRON', 'and', 'CCONJ'), ('Pronoun Error', 'am', 'AUX', 'I', 'PRON'), ('Preposition Error', 'From', 'ADP', 'am', 'AUX'), ('Preposition Error', 'Nicaragua', 'PROPN', 'from', 'ADP'), ('Other Error', 'and', 'CCONJ', 'Nicaragua', 'PROPN'), ('Pronoun Error', 'my', 'PRON', 'and', 'CCONJ'), ('Adjective Error', 'native', 'ADJ', 'my', 'PRON'), ('Adjective Error', 'Lqnguage', 'PROPN', 'native', 'ADJ'), ('Noun Error', 'It', 'PRON', 'language', 'NOUN'), ('Pronoun Error', ""'s"", 'AUX', 'it', 'PRON'), ('Adjective Error', 'Spainsh', 'ADJ', ""'s"", 'AUX'), ('Adjective Error', 'so', 'ADV', 'Spanish', 'ADJ'), ('Other Error', 'If', 'SCONJ', 'so', 'ADV'), ('Pronoun Error', 'You', 'PRON', 'if', 'SCONJ'), ('Verb Error', 'want', 'VERB', 'you', 'PRON'), ('Verb Error', 'to', 'PART', 'want', 'VERB'), ('Verb Error', 'practice', 'VERB', 'to', 'PART'), ('Verb Error', 'your', 'PRON', 'practice', 'VERB'), ('Pronoun Error', 'Spanish', 'PROPN', 'your', 'PRON'), ('Other Error', 'Do', 'AUX', 'Spanish', 'PROPN'), ('Other Error', ""n't"", 'PART', 'do', 'AUX'), ('Verb Error', 'Hesitate', 'VERB', ""n't"", 'PART'), ('Verb Error', 'Just', 'ADV', 'hesitate', 'VERB'), ('Verb Error', 'Sent', 'VERB', 'just', 'ADV'), ('Verb Error', 'Me', 'PRON', 'send', 'VERB'), ('Pronoun Error', 'a', 'DET', 'me', 'PRON'), ('Noun Error', 'Message', 'NOUN', 'a', 'DET'), ('Noun Error', 'I', 'PRON', 'message', 'NOUN'), ('Pronoun Error', 'am', 'AUX', 'I', 'PRON'), ('Adjective Error', 'Gon', 'ADJ', 'am', 'AUX'), ('Adjective Error', 'na', 'PART', 'Gon', 'ADJ'), ('Verb Error', 'Help', 'VERB', 'na', 'PART'), ('Verb Error', 'you', 'PRON', 'Help', 'VERB'), ('Noun Error', 'Guys', 'NOUN', 'you', 'PRON'), ('Noun Error', 'And', 'CCONJ', 'Guys', 'NOUN'), ('Pronoun Error', 'I', 'PRON', 'And', 'CCONJ'), ('Verb Error', 'wanna', 'VERB', 'I', 'PRON')]","Counter({'Pronoun Error': 11, 'Verb Error': 11, 'Other Error': 6, 'Adjective Error': 6, 'Noun Error': 5, 'Preposition Error': 2})"
Spanish,[],Counter()
Spanish,"[('Verb Error', 'to', 'PART', 'reach', 'VERB'), ('Verb Error', 'reach', 'VERB', 'the', 'DET'), ('Adjective Error', 'the', 'DET', 'next', 'ADJ'), ('Noun Error', 'next', 'ADJ', 'level', 'NOUN'), ('Noun Error', 'level', 'NOUN', '!', 'PUNCT')]","Counter({'Verb Error': 2, 'Noun Error': 2, 'Adjective Error': 1})"
Spanish,"[('Pronoun Error', ""eveyoneI'm"", 'PROPN', 'everyone', 'PRON'), ('Adjective Error', 'interested', 'ADJ', '!', 'PUNCT'), ('Preposition Error', 'in', 'ADP', 'I', 'PRON'), ('Verb Error', 'improving', 'VERB', ""'m"", 'AUX'), ('Adjective Error', 'my', 'PRON', 'interested', 'ADJ'), ('Noun Error', 'fluency', 'NOUN', 'in', 'ADP'), ('Verb Error', 'in', 'ADP', 'improving', 'VERB'), ('Pronoun Error', 'English', 'PROPN', 'my', 'PRON'), ('Noun Error', 'as', 'SCONJ', 'fluency', 'NOUN'), ('Preposition Error', 'I', 'PRON', 'in', 'ADP'), ('Verb Error', 'watch', 'VERB', 'English', 'PROPN'), ('Other Error', 'a', 'DET', 'as', 'SCONJ'), ('Noun Error', 'lot', 'NOUN', 'I', 'PRON'), ('Verb Error', 'of', 'ADP', 'watch', 'VERB'), ('Noun Error', 'documentaries', 'NOUN', 'a', 'DET'), ('Noun Error', 'and', 'CCONJ', 'lot', 'NOUN'), ('Noun Error', 'films', 'NOUN', 'of', 'ADP'), ('Noun Error', 'in', 'ADP', 'documentaries', 'NOUN'), ('Other Error', 'this', 'DET', 'and', 'CCONJ'), ('Preposition Error', 'and', 'CCONJ', 'in', 'ADP'), ('Pronoun Error', 'it', 'PRON', 'this', 'DET'), ('Noun Error', 'is', 'AUX', 'language', 'NOUN'), ('Other Error', 'very', 'ADV', 'and', 'CCONJ'), ('Adjective Error', 'useful', 'ADJ', 'it', 'PRON'), ('Preposition Error', 'in', 'ADP', 'is', 'AUX'), ('Pronoun Error', 'my', 'PRON', 'very', 'ADV'), ('Noun Error', 'travels', 'NOUN', 'useful', 'ADJ'), ('Preposition Error', '.', 'PUNCT', 'in', 'ADP'), ('Noun Error', 'am', 'AUX', 'travels', 'NOUN'), ('Other Error', 'very', 'ADV', '.', 'PUNCT'), ('Adjective Error', 'interested', 'ADJ', 'I', 'PRON'), ('Preposition Error', 'in', 'ADP', 'am', 'AUX'), ('Adjective Error', 'European', 'ADJ', 'very', 'ADV'), ('Noun Error', 'history', 'NOUN', 'interested', 'ADJ'), ('Preposition Error', 'and', 'CCONJ', 'in', 'ADP'), ('Adjective Error', 'especially', 'ADV', 'European', 'ADJ'), ('Noun Error', 'in', 'ADP', 'history', 'NOUN'), ('Other Error', 'the', 'DET', ',', 'PUNCT'), ('Adjective Error', 'former', 'ADJ', 'especially', 'ADV'), ('Preposition Error', 'Yugoslavia', 'PROPN', 'in', 'ADP'), ('Other Error', 'and', 'CCONJ', 'the', 'DET'), ('Adjective Error', 'the', 'DET', 'former', 'ADJ'), ('Other Error', '.', 'PUNCT', 'and', 'CCONJ'), ('Pronoun Error', 'I', 'PRON', 'the', 'DET'), ('Other Error', 'would', 'AUX', 'Balkans', 'PROPN'), ('Verb Error', 'like', 'VERB', '.', 'PUNCT'), ('Pronoun Error', 'to', 'PART', 'I', 'PRON'), ('Verb Error', 'share', 'VERB', 'would', 'AUX'), ('Verb Error', 'travel', 'NOUN', 'like', 'VERB'), ('Noun Error', 'experiences', 'NOUN', 'to', 'PART'), ('Verb Error', 'of', 'ADP', 'share', 'VERB'), ('Noun Error', 'other', 'ADJ', 'travel', 'NOUN'), ('Preposition Error', '.', 'PUNCT', 'of', 'ADP'), ('Adjective Error', 'I', 'PRON', 'other', 'ADJ'), ('Noun Error', 'also', 'ADV', 'travellers', 'NOUN'), ('Verb Error', 'studied', 'VERB', '.', 'PUNCT'), ('Adjective Error', 'Italian', 'ADJ', 'I', 'PRON'), ('Noun Error', 'years', 'NOUN', 'also', 'ADV'), ('Verb Error', 'ago', 'ADV', 'studied', 'VERB'), ('Adjective Error', 'but', 'CCONJ', 'Italian', 'ADJ'), ('Noun Error', 'now', 'ADV', 'years', 'NOUN'), ('Pronoun Error', 'I', 'PRON', 'ago', 'ADV'), ('Verb Error', 'have', 'VERB', ',', 'PUNCT'), ('Other Error', 'a', 'DET', 'but', 'CCONJ'), ('Adjective Error', 'little', 'ADJ', 'now', 'ADV'), ('Noun Error', 'bit', 'NOUN', 'I', 'PRON'), ('Verb Error', 'of', 'ADP', 'have', 'VERB'), ('Adjective Error', 'Italian', 'ADJ', 'a', 'DET'), ('Adjective Error', 'but', 'CCONJ', 'little', 'ADJ'), ('Noun Error', 'I', 'PRON', 'bit', 'NOUN'), ('Preposition Error', 'would', 'AUX', 'of', 'ADP'), ('Verb Error', 'like', 'VERB', 'Italian', 'ADJ'), ('Other Error', 'to', 'PART', 'but', 'CCONJ'), ('Verb Error', 'refresh', 'VERB', 'I', 'PRON'), ('Pronoun Error', 'it', 'PRON', 'would', 'AUX'), ('Verb Error', '.', 'PUNCT', 'like', 'VERB'), ('Pronoun Error', 'My', 'PRON', 'to', 'PART'), ('Verb Error', 'last', 'ADJ', 'refresh', 'VERB'), ('Noun Error', 'trips', 'NOUN', 'it', 'PRON'), ('Other Error', 'have', 'AUX', '.', 'PUNCT'), ('Pronoun Error', 'been', 'AUX', 'My', 'PRON'), ('Adjective Error', 'Scotland', 'PROPN', 'last', 'ADJ'), ('Noun Error', 'and', 'CCONJ', 'trips', 'NOUN'), ('Other Error', 'Puglia', 'PROPN', 'have', 'AUX'), ('Other Error', '.', 'PUNCT', 'been', 'AUX')]","Counter({'Noun Error': 21, 'Verb Error': 16, 'Adjective Error': 15, 'Other Error': 13, 'Pronoun Error': 10, 'Preposition Error': 10})"
Spanish,"[('Adjective Error', 'Fancy', 'ADJ', 'Fancy', 'PROPN'), ('Verb Error', 'for', 'ADP', 'drinking', 'VERB'), ('Verb Error', 'drink', 'VERB', 'a', 'DET'), ('Noun Error', 'a', 'DET', 'cup', 'NOUN'), ('Noun Error', 'cup', 'NOUN', 'of', 'ADP'), ('Noun Error', 'of', 'ADP', 'coffee', 'NOUN'), ('Noun Error', 'coffee', 'NOUN', '?', 'PUNCT')]","Counter({'Noun Error': 4, 'Verb Error': 2, 'Adjective Error': 1})"
Spanish,"[('Noun Error', 'firstcertificate', 'NOUN', 'first', 'ADJ'), ('Noun Error', '.', 'PUNCT', 'certificate', 'NOUN'), ('Other Error', 'Also', 'ADV', '.', 'PUNCT'), ('Other Error', 'to', 'PART', 'Also', 'ADV'), ('Verb Error', 'become', 'VERB', 'to', 'PART'), ('Verb Error', 'more', 'ADJ', 'become', 'VERB'), ('Noun Error', 'fluency', 'NOUN', 'more', 'ADV'), ('Adjective Error', 'with', 'ADP', 'fluent', 'ADJ'), ('Preposition Error', 'this', 'DET', 'with', 'ADP'), ('Noun Error', 'language', 'NOUN', 'this', 'DET'), ('Noun Error', '.', 'PUNCT', 'language', 'NOUN')]","Counter({'Noun Error': 5, 'Other Error': 2, 'Verb Error': 2, 'Adjective Error': 1, 'Preposition Error': 1})"
Spanish,[],Counter()
Spanish,"[('Other Error', 'please', 'INTJ', ',', 'PUNCT'), ('Verb Error', 'let', 'VERB', 'please', 'INTJ'), ('Verb Error', 'me', 'PRON', 'let', 'VERB'), ('Verb Error', 'know', 'VERB', 'me', 'PRON'), ('Verb Error', '.', 'PUNCT', 'know', 'VERB'), ('Pronoun Error', 'My', 'PRON', '.', 'PUNCT'), ('Adjective Error', 'english', 'ADJ', 'My', 'PRON'), ('Noun Error', 'level', 'NOUN', 'english', 'ADJ'), ('Noun Error', 'is', 'AUX', 'level', 'NOUN'), ('Adjective Error', 'intermediate', 'ADJ', 'is', 'AUX'), ('Adjective Error', '.', 'PUNCT', 'intermediate', 'ADJ')]","Counter({'Verb Error': 4, 'Adjective Error': 3, 'Noun Error': 2, 'Other Error': 1, 'Pronoun Error': 1})"
Spanish,"[('Adjective Error', 'serious', 'ADJ', 'a', 'DET'), ('Noun Error', 'person', 'NOUN', 'serious', 'ADJ'), ('Noun Error', ',', 'PUNCT', 'person', 'NOUN'), ('Other Error', 'easy', 'ADV', ',', 'PUNCT'), ('Verb Error', 'going', 'VERB', 'easy', 'ADV'), ('Noun Error', ',', 'PUNCT', 'going', 'NOUN'), ('Pronoun Error', 'I', 'PRON', ',', 'PUNCT'), ('Verb Error', 'like', 'VERB', 'and', 'CCONJ'), ('Pronoun Error', 'to', 'PART', 'I', 'PRON'), ('Pronoun Error', 'that', 'PRON', 'to', 'PART'), ('Verb Error', ""'s"", 'AUX', 'travel', 'VERB'), ('Other Error', 'why', 'SCONJ', ',', 'PUNCT'), ('Verb Error', 'learning', 'VERB', 'why', 'SCONJ'), ('Pronoun Error', 'another', 'DET', 'I', 'PRON'), ('Noun Error', 'language', 'NOUN', ""'m"", 'AUX'), ('Verb Error', '.', 'PUNCT', 'learning', 'VERB')]","Counter({'Verb Error': 5, 'Noun Error': 4, 'Pronoun Error': 4, 'Other Error': 2, 'Adjective Error': 1})"
Spanish,[],Counter()
