Unnamed: 0,native,language,text
2928,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Id like to improve my English meeting up with someone enjoyable who could help me. Im nice and cheerful and I love making new friends. I can help with the Spanish and our culture too.Im specially interested in face to face conversation in Seville or in somewhere between Seville and Huelva. I wouldn't mind to chat with Whatsapp
2929,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm a student of english who enjoys practising this language. If you want we can improve together in these skills: listening to, speaking, typing..."
2930,Spanish,"[{'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I've got and intermediate English level and basic in German. I'd like to improve my level in both languages.
2933,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I can help hoy with spanish
2934,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I'd love to practice languages and help others.
2935,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm from Madrid, Spain. I'm living in Hoboken, and I would like to improve my English through a good conversation.I would love to help you with your Spanish. I'm very patient and I have been working as a tutor in Spain. let me know if you would like to have a coffee and chat, and feel free to text just if you have any question."
2936,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello, Im Mayra and I'm looking for people in order to talk. If you need to practice your Spanish or you are in Mexico city please don't hesitate to send a message."
2938,Spanish,"[{'language': 'French', 'level': 83.57142857142857, 'proficiency': 'Proficiency'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Quechua', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi, I'd like to learn German and English. I love to discuss about different subjects mostly culture and lifestyle and see how my partners progress on their target languages. I make exchanges on WhatsApp once a week at least, 1 hour."
2942,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Creole', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Here to improve my English fluency. Also get better at my French,Italian and Creole. My native language is Spanish so I can help you if you are studying Spanish or want to learn it.I'm mostly intereted in practicing with native English speakers. I will be really happy to find someoneto have conversations and help each other. I hope to hear from you soon!"
2943,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to improve my English conversation level and my writing. I can help you with your Spanish conversation and your writing too. I am an economist and work for myself. If you want to exchange languages with me, send me a message, please."
2944,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I'm here to practice my English. I think it's decent but it needs improvement. Also I'm starting with Japanese, like the very basics. I mean Hiragana and Katakana, so if there is a kind sould who is willing to help me then I will be really grateful! Obviously I will help you with Spanish n. I'm really trying to find someone to practice languages, if you are looking for cibersx or a hook up please don't even bother....By the way, do you play WOW?"
2945,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I've just arrived to Palma because of my work. I've exchanged languages in my city and it's the best way to improve."
2948,Spanish,"[{'language': 'Japanese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Polish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi, I'm Marlene from Mexico but currently living in Poland.I can help you with some Spanish. Actually, I have been learning Japanese but right now I'm trying to improve my polish, however, my level is still super basic. Hope we can talk and exchange languages."
2949,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'd like to talk to anyone who wants to improve their spanish.
2950,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",If you are interested in exchanging conversations with someone who speaks Spanish. I am the perfect partner..
2952,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am a Spanish girls who would like to improve my English skills. I am an archaeologist, researcher and teacher. I love the Mountains, climbing and good music. I would like to improve my English but also having a nice time with someone."
2956,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, Im from Argentina."
2957,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Currently I study political science in college. I would like to improve my English because I love this language and I need it too. I can also help you with your Spanish. I am serious so please, be serious too. But dont worry, I am also fun"
2958,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would also love to help anyone learning Spanish. I really enjoy learning languages as well as meeting new people and cultures.
2959,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I would like to find people who want practice and improve language skills. I would be glad to help you with the Spanish.
2960,Spanish,"[{'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Romanian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Greek', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Turkish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","Hi, I'm a teacher of Latin and Ancient Greek... I can speak fluently more than eight languages, and of course Latin and Ancient Greek. I'm looking forward to communicating with some natives of German, Romanian, Greek, or English languages. Just ask me which language you want to learn and I'll help you out... I've been teaching for many years."
2961,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I have been studying English on my own and for that purpose I have been using everything I could, like movies, TV shows, podcasts, books, online newspapers and magazines, YouTube, and maybe something else that I might be forgetting. I'm very willing to help you with your Spanish if in return you can help me with my English. I live in a country where English is not an official language so that's why I would like to practice with a native English speaker. Thanks and regards."
2962,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I am married with a lovely daughter. I'm a music teacher and an outgoing person that want to improve English with native speakers.
2965,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","If you want to practice your Spanish speaking skills with me, then feel free to contact me. I would like to do a Tandem. 30 min speaking english and 30 min speaking Spanish. Do you like the idea? I will be happy to hear from you. Until the next time!"
2966,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I'm from Barelona city. I like my city and my own language, catalan, but also, my identufy is Spnanish, so, I I speak spanish language and I know what the grammar is, because I've studied in Spanish language.I would like to exchange knowledge of English and Spanish, grammar and pull with someone intresadaSee you,Merc."
2967,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Clara, originally from Spain, although I've lived in different cities. I love discovering new cultures and meeting people with other perspectives and stories to share.I worked as an Architect for 15 years and made a career transition towards personal growth as Life coach. We could help each other with English/Spanish exchange what you don't use, ends up ""turning off""... life too.Let me know what you think, have a great day!"
2968,Spanish,"[{'language': 'German', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am 40 from Spain, I have lived in the US and in Austria so I can speak English and German, if you'd like to practice Spanish with a coffee or a beer, just drop me a line."
2969,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am very interested in improving my English, and I would like to speak with native English speakers that want to learn Spanish.I would love this exchange."
2970,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Im learning English and If you learn ""Southamerican Spanish"" I will glad to help you improve it , so dont hesitate to ask me..Have a nice day."
2971,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I want to language exchange
2972,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I think conversation with others is part of our nature
2974,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I'm from Spain, and I'd like to improve my English. I think my English is a little bit rusty..... sorry if this expression isn't right."
2975,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm a native Spanish speaker interested in practicing English. Send me a message if your are interested in exchanging languages.
2976,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Portuguese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",Hi im from mexico i need someone help me with my english and i help you with your spanish besides i m learning portugues and italiano. if you want practice these languages send me a mail thanks.Very important I don't want to find a relationship only I want to practice the language thanks.
2977,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Csar, from Spain. I'm a Law student who want to improve my English level. I would like to meet new people from anywhere and have a great time together."
2978,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I am Luis, from Chile. My language is Spanish.I want to learn English.I woud like practice with other people."
2979,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am interested in English language because I want to improve my speaking English skills, since here in my town there are not much people who can I practice it. Also because I want to be better communicating and talking with new people. Thats it, thank you for your attention."
3468,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","open mind, Asia and Europe background, and i come here to discover North-America, and i want to improve my english"
3687,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'German', 'level': 45, 'proficiency': 'Intermediate'}]","I love learning new things, especially foreign languages and cultures."
3698,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Ukrainian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Polish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Slovenian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Croatian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi,Open for a friendly conversation."
3771,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Ukrainian so my native language is Russian, and French became my second mother tongue as I live in France, teach French and work as a TranslatorInterpreter. I studied English at university but I've never really had an opportunity to practice it in a serious and regular manner. So, I'd like to have some chat with an English-speaking person who wishes to practice his/her French or Russian skills."
3895,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'Italian', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I would like to practice my languages and learn more about new cultures... So if you need my help, don't hesitate to contact me"
4439,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am a Russian native speaker and have been living for almost 30 years in Germany, so German is like my second native language. I'm learning English for the 100st time and now I would like to have some conversations with an English native speaker to finally have a success!"
4479,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would like improve my English skills and have fun with new people
4489,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Russian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Chinese (Cantonese)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",Im Sara from Spain and I wish to learn and to improve languages and to know new cultures and make friends.
4497,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Ukrainian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello friend, I could practice with you russian and german. On the other side I would like to improve my english."
4543,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hey , I am looking for native English speakers to practice my English language skills and to help them to become confident in German/Russian having conversations about this and that. My English level is B1-B2, so I understand more, than I can speak. My German is fluent with good grammatical skills. Russian is my native language. I like to discuss about daily affairs as well."
4573,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I am looking for somebody interested in German-English tandem. Russian-English tandem would be also possible. I am a real autodidact in English but I have been doing this for a long time.
4595,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm here new looking for someone to talk with
4623,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I want to speak as good an English as is possible.Unfortunately, in my work I cannot often practice it. I studyed International Relations and Economics.Now I have to pass an English language unit or an English unit.This is not the only reason why I want to learn English, I want to to read English books or newspapers and to read and learn about other cultures. I would be very glad if I can talk to someone Spanish. Not forgetting that language."
4624,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am a native German and Russian speaker living in Germany. I am a software developer and looking for someone with whom I can practice English. In exchange I can help you to become more fluent in German or Russian. I speak an intermediate level of English, but want to become more fluent."
4651,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello there , I'm from Germany and want to improve my English, to be more fluently, more confident and to get to know some interesting people. Of course i can help you with German and Russian in return. Just be free and text."
4657,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Improve my speaking skills in Englisch, meeting new people for interesting conversations and travelling around the world"
4735,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm a Chilean man, who speaks Spanish and German fluently. I like to travel and to cook. I like to speak about all the interesting issues."
4758,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I speak four languages, but I need to improve my English."
4785,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Hi!I will talk about all themes in English and if you will we can talk in German and Russian.
4838,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm looking for someone to practice my English. It could be somebody who already knows English and is keen to use it verbally. I use to read in my free time in English I'm about to finish the Harry Potter Book Series. Either we can talk just in English or we can exchange languages so I can teach German which is my native language. If u wanna have a first expression of me before contacting me u can find on google by my nickname. I'm also interested on your opinion about how well my English is.
4867,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm here to improve my english. So I'd like to exchange with native English speaker.
4873,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, i would like to improve my English skills via chat, mails, fb or face to face conversation. I have a PhD degree in German and Russian, so I can help you with this."
4931,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]","Hi, I really want to improve my english and french by talking with people. So I'm happy to help anybody with spanisch or german."
4942,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Dutch', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]",I am looking for a partner who is a native speaker of English. Will be glad to chat and talk.
5071,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, Im looking for a language exchange in Aachen to improve my english especially: grammar and prononciation Please, just English native speaker. Ive traveled around the world for one year but spent most of the time in Vancouver/Canada and US. Since I came back to Germany, Im worried to lose English speaking skills, because I dont have any English speaking friends in my city. I can teach you German or Russian. Im good in both!.Hope to hear from you soon!Laura"
5084,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hey, I'm a guy from German, who wants to improve his bad English skills. In exchange I could help with German, Russian and other culture stuff."
5402,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Arabic', 'level': 45, 'proficiency': 'Intermediate'}]","I am currently working full time and a part-time student in College.I've been living in UK for about 1 year and half. I have a good understanding of the English Language when it comes to read but not really good when it comes to verbal communication skills.I've been living in Egypt for about 2 years, i learn arabic , but since i came in UK i don,t speak to much so i'm here looking for people whom wants to have conversations to improve on Spanish as i am a Native spanish speaker in exchange"
6837,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I am here to share English language with someone
8912,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'Greek', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I would like to practice languages for 1 hour every day. I want to practice Spanish, English or Greek and I can help you with Russian. So we can talk 30 minutes in Spanish/Greek/English and 30 minutes in Russian you can ask me about anything you don't understand in Russian and I'll try to explain. So this way we can teach each other. If you are a native speaker it would be great."
8913,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I'm Armenian who live in Long Beach and want to learn Spanish.
8916,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I'm a professional web designer from Armenia working hard to improve my writing and conversation skills in English. I'm looking for a language partner with similar goals or somebody who is fluent in English and wants to learn Armenian/ Russian language and culture."
8917,Russian,"[{'language': 'Japanese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I'm armenian and my native languages are armenian and russian. I learn japanese in the university. And I think that conversetion with native speackers will help me a lot. I'm interested in Japan culture and history too. Also my english isn't good. Help me with my poor english, please. I'll help you with russian and armenian."
8919,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","My full name is Sargis Mikhailovich Grigoryan. I am 18 years old. I am a pupil of twelfth form of a high school. I am finishing school this year. I want to enter the French University in Armenia. I want to learn English, French and German."
8924,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Ukrainian', 'level': 70.71428571428572, 'proficiency': 'Advanced'}]","I am fluent in Russian and Armenian. I started to seriously study English a year ago, but I really do my best to improve my English. I dream to visit all countries of the world. I have seen mountains, rivers, lakes, waterfalls, seas, rocks, cities and towns, villages, but I have never seen the ocean. It's my dream to see the ocean. And one more dream is to speak English like Russian. I will do my best for your Russian and I hope you can help me with my English"
8926,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",Hi everyone!I am here to improve my english and learn French. I can help you with Russian and Armenian.
8927,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am an theologist and ecclisiastical historian. I know Armenian, Russian, Greek languages, as well as Ancient Greek, Old Armenian and Slavonic. I would like to improve my English, so I hope to find in this site English-speakcing friends and interlocutors."
8930,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to improve my spoken English, will be glad to communicate."
8932,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am looking for a partner to practice my english skills. Also I speak in Armenian, Russian and languages."
8938,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hey everyone, taking TOEFL exam in two months, need someone to practice speaking with"
8940,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I was born here and have been living here for 18 years.Now I am learning English and want to practice my speech. I want to become a programmer. I have many hobbies and many interesting experiences to talk. If you want to connect with me do it instantly. I will be very happy if you want to talk to me.
8943,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Hayk, I am looking to someone who can practice English with me with enjoy"
8944,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Hi everyone  I'm from Armenia and I want to learn English. Hope you'll help me. And I can help you to learn Armenian and Russian if you want. We can also chat by MessengerP. write only girls.
8945,Russian,"[{'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Armenian girl looking for a French or English native speaker, feel free to chat! If you are in Yerevan, it would be great to meet you!"
8948,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I am interested in practising my English and French languages to become more fluent and confident while speaking. In exchange I can teach Russian or Armenian which I speak as native speaker,"
8953,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Want to improve my English skills. I can improve your Russian or Armenian skills if you want. Don't be shy,let's help each other."
8958,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",",     :   : Hi, I am Gerasim and I would like to improve my English speaking skills and looking for a conversation partner."
8961,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi there, I'm Olga and I'm here to practise my english!"
8967,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}]","I think we can help each other, can't we? I'm here only for improving my language skills and if you are a native speaker in English, please write to me  I will look forward to your massage."
8968,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","My name's Arsen and my biggest dream and goal is fluency in English. Also I wanna have a good job in international company, so I need your help guys."
8972,Russian,"[{'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, i want to learn Italian, because it is a very beautiful and colorful language and i do like Italia and their culture. Ive never been in Italy, but i hope to visit in near future and speak in their native language."
8974,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I'll be happy to have new friends. I can help you improve your Russian and Armenian."
8976,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","!I'm native Armenian speaker also I speak Russian as my second language. I'm learning English now and I need to practice with native speakers. I would like to find some friends in here to help each other get better in our learning process in no time. I prefer to talk by audio or video.In that way we can't use any translators or something like that, and that's a real conversation. Otherwise I can chat with you to as well."
8978,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Dutch', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",I want to improve my English and Dutch and I am ready to help you improve your Russian or Armenian. Please feel free to contact me.
8980,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I attend English courses. Now at the intermediate level. But really lack of communication with people.
8985,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Turkish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I am Metaksya and I want to find someone ho can help me spoke in English better. I would like improve also my Turkish and French skills. So I will happy to help too, because I know Armenian and Russian and I will try to be helpful."
8988,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I am Anna and have been already learning English for 3 years. I can not speak very good because i don't have practiced language. I would like to start practicing English and ready to help practice the Russian language
8989,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I want to speak with the other people all over the world to improve my English language skills
8993,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I like English and Italian.
8995,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I wanna improve my english skills with interesting people! Let's start to do it
8997,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am a native Armenian speaker. It'll be great to improve your Armenian skills. I would like to improve my English with interesting persons.I also know Russian very well, it's my second language."
8998,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",want to find person to talk with and make my English better
8999,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I need help to learn English
9003,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'd like to improve my English.
9005,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]","Every language is a temple, in which the soul of those who speak it is enshrined.- Oliver Wendell Holmes"
9006,Russian,"[{'language': 'German', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would like to speak periodically with german native speakers.
9008,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Ukrainian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",I really want to learn English and i need a friend who will help me. I'll be glad to help you with russian and armenian.
9011,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",My dream is to improve my English so I can speak easily and feel confident in business negotiations and life
9012,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","2 days ago I watched a video where two poliglot guys talked to each other on 21 languages. This video inspire me to re-start learning languages, to be happy and open minded again."
9014,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I want to improve my English and I wish to start speaking Korean... so I hope that it will be a good language exchange.
9029,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello, i am Arthur and i want to lerarn english and italian languages, please help me and i will help you to learn armenian and russian. It will be a pleasure for me to talk with an intersting person, and since I am a man it will be more pleasant to talk with a girl, especially smart and beautiful D Thank You"
9033,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I want to learn English. I know Armenian and Russian and can help to learn them. I hope that youll help me to learn English
9035,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I would like to improve my English and learn German. In return I'll help you with Russian with pleasure!.
9043,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I want to improve my English skills. In exchange I can help you with armenian and russian.
9049,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",!I'd like to make new friends and practice my English.
9052,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","i will go to Poland to take part in a international youth project , that is why i want to communicate with people who know english good and improve my language skills. I hope that everything will be easy , simple , and i will achieve."
